Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
4602,CHEAP SMOKES / BEER CITY,A,58231 190TH ST,PACIFIC JUNCTION,IA,51561,POINT (-95.82222 41.04193),01/01/2025
5746,CASEY'S GENERAL STORE #3037 / CHEROKEE,A,1200 N 2ND ST,CHEROKEE,IA,51012,POINT (-95.55229 42.76478),01/01/2025
5385,VINE FOOD & LIQUOR,I,2704 VINE ST.,WEST DES MOINES,IA,50265,POINT (-93.74167 41.58),01/01/2025
010447,SWARM SPORTS BAR AND GRILLE / SUMNER,A,108 E 1ST ST,SUMNER,IA,50674,POINT (-92.09727 42.84746),01/01/2025
4235,FAREWAY STORES #395 / WEBSTER CITY,A,942  2ND ST,WEBSTER CITY,IA,50595,POINT (-93.82772 42.46949),01/01/2025
010190,CASEY'S GENERAL STORE #2608 / SIOUX CITY,A,1132 LEWIS BOULEVARD,SIOUX CITY,IA,51105,POINT (-96.37789 42.50277),01/01/2025
4622,QUIK TRIP #544 / SE 14TH DM,A,3941 SE 14TH ST,DES MOINES,IA,50320,POINT (-93.59631 41.54858),01/01/2025
2527,HY-VEE FOOD STORE #5 (1151) / DES MOINES,A,1107 SE ARMY POST RD,DES MOINES,IA,50315,POINT (-93.7189 41.52566),01/01/2025
4540,CASEY'S GENERAL STORE #2915 / BELLEVUE,A,1104 N RIVERVIEW ST,BELLEVUE,IA,52031,POINT (-90.42778 42.26834),01/01/2025
5980,CASEY'S GENERAL STORE #2527 / SHELDON,A,1401 PARK STREET,SHELDON,IA,51201,POINT (-95.83836 43.18602),01/01/2025
6192,HY-VEE FAST AND FRESH #1 / CORALVILLE,A,2025 2ND STREET,CORALVILLE,IA,52241,POINT (-91.59358 41.68111),01/01/2025
2611,HY-VEE DRUGSTORE / OTTUMWA,A,1140 NORTH JEFFERSON ST,OTTUMWA,IA,52501,POINT (-92.40153 41.02675),01/01/2025
3682,JUMBO'S,A,110 E MAIN ST,WESLEY,IA,50483,POINT (-93.99027 43.08835),01/01/2025
5588,CASEY'S GENERAL STORE #2533 / MARENGO,A,2157 HWY 6 TRAIL,MARENGO,IA,52301,POINT (-92.07386 41.78954),01/01/2025
4289,FAREWAY STORES #062 / WAUKON,A,777  11TH AVE SW,WAUKON,IA,52172,POINT (-91.48414 43.25661),01/01/2025
5879,HOMETOWN FOODS - CONRAD,I,119 N MAIN ST,CONRAD,IA,50621,POINT (-92.87457 42.22521),01/01/2025
5786,CASEY'S GENERAL STORE #2779 / CORALVILLE,A,1987 2ND ST,CORALVILLE,IA,52241,POINT (-91.59048 41.6793),01/01/2025
5197,KUM & GO #201 / CORALVILLE,A,822 1ST  AVE,CORALVILLE,IA,52241,POINT (-91.56607 41.68129),01/01/2025
4891,SCHOTTSY'S LIQUOR,A,109 5TH ST,SIBLEY,IA,51249,POINT (-95.75126 43.40398),01/01/2025
010134,"FAREWAY STORES, INC. #232 / WEST DES MOINES",A,9080 MILLS CIVIC PARKWAY,WEST DES MOINES,IA,50266,POINT (-93.83268 41.55883),01/01/2025
5773,CASEY'S GENERAL STORE #2239 / INDEPENDENCE,A,1200 5TH AVE NE,INDEPENDENCE,IA,50644,POINT (-91.88945 42.48003),01/01/2025
2835,CVS PHARMACY #8538 / CEDAR FALLS,A,2302 WEST FIRST ST,CEDAR FALLS,IA,50613,POINT (-92.47279 42.53991),01/01/2025
3549,QUICKER LIQUOR STORE,A,1414 48TH ST,FORT MADISON,IA,52627,POINT (-91.37319 40.62423),01/01/2025
4724,WALGREENS #05942 / NEWTON,A,1204 1ST AVE EAST,NEWTON,IA,50208,POINT (-93.03829 41.6992),01/01/2025
5540,CASEY'S GENERAL STORE #2447 / SERGEANT BLUFF,A,111 GAUL DR,SERGEANT BLUFF,IA,51054,POINT (-96.3524 42.3985),01/01/2025
010240,FORBES MEAT / SPIRIT LAKE,A,2508 ENTERPRISE AVENUE,SPIRIT LAKE,IA,51360,POINT (-95.1268 43.41662),01/01/2025
010306,ATLANTIC LIQUOR / ATLANTIC,A,411 CHESTNUT STREET,ATLANTIC,IA,50022,POINT (-95.01298 41.40654),01/01/2025
5901,LE CLAIRE GROCERY STORE,I,536 N CODY RD,LE CLAIRE,IA,52753,POINT (-90.34381 41.60326),01/01/2025
6304,WORLD LIQUOR & TOBACCO + VAPORS / AMES,A,111 DUFF AVENUE,AMES,IA,50010,POINT (-93.61061 42.02338),01/01/2025
4414,KUM & GO #23 / NEOLA,A,29356 298TH ST,NEOLA,IA,51559,POINT (-95.6124 41.43874),01/01/2025
5089,MOS MINI MART,A,"614, E ERIE ST",MISSOURI VALLEY,IA,51555,POINT (-95.88678 41.5564),01/01/2025
6330,JK AFRICAN STORE LLC / DES MOINES,I,2312 UNIVERSITY AVENUE,DES MOINES,IA,50311,POINT (-93.64873 41.60042),01/01/2025
6172,BP TO GO / HIAWATHA,I,975 ROBINS ROAD,HIAWATHA,IA,52233,POINT (-91.67296 42.04729),01/01/2025
6052,CASEY'S GENERAL STORE #2568 / NORWALK,A,1510 SUNSET DR,NORWALK,IA,50211,POINT (-93.67509 41.48309),01/01/2025
6066,UNITED WINE & LIQUOR / CEDAR FALLS,I,2211 COLLEGE ST,CEDAR FALLS,IA,50613,POINT (-92.45579 42.51736),01/01/2025
5730,JIM'S FOOD,A,437 SULLIVAN AVENUE,WATERLOO,IA,50701,POINT (-92.35592 42.48713),01/01/2025
4962,HILLTOP GROCERY,A,1312 HARRISON ST,DAVENPORT,IA,52803,POINT (-90.57754 41.53322),01/01/2025
5449,MODS MARKET,I,200 1ST AVE NE STE 124,CEDAR RAPIDS,IA,52401,POINT (-91.66839 41.97892),01/01/2025
